div_size,avg_time
3,1.400000
5,1.400000
7,1.400000
9,1.900000
11,2.000000
13,2.100000
15,2.100000
17,2.200000
19,2.000000
21,2.400000
23,2.200000
25,2.400000
27,2.300000
29,2.200000
31,2.400000
33,2.800000
35,3.200000
37,3.500000
39,3.000000
41,3.000000
43,2.900000
45,3.200000
47,3.100000
49,3.400000
51,3.100000
53,3.300000
55,3.600000
57,4.300000
59,3.500000
61,4.100000
63,3.800000
65,3.900000
67,3.900000
69,4.400000
71,4.100000
73,4.500000
75,6.000000
77,6.000000
79,5.600000
81,5.300000
83,5.400000
85,6.000000
87,5.200000
89,5.500000
91,6.300000
93,6.000000
95,7.800000
97,6.000000
99,6.500000
101,5.600000
103,6.200000
105,7.300000
107,7.700000
109,7.000000
111,6.400000
113,6.100000
115,6.300000
117,6.900000
119,7.500000
121,7.100000
123,7.100000
125,6.800000
127,7.200000
129,7.800000
131,8.200000
133,7.700000
135,8.200000
137,8.100000
139,9.100000
141,7.500000
143,8.000000
145,8.600000
147,8.100000
149,8.900000
151,8.500000
153,8.500000
155,8.400000
157,8.200000
159,9.200000
161,9.200000
163,9.100000
165,9.400000
167,10.000000
169,8.800000
171,9.200000
173,8.900000
175,9.000000
177,9.800000
179,9.900000
181,9.900000
183,9.000000
185,10.300000
187,10.600000
189,9.600000
191,9.900000
193,11.500000
195,14.100000
197,11.800000
199,11.700000
201,11.300000
203,12.600000
205,10.500000
207,10.800000
209,10.400000
211,10.400000
213,12.000000
215,10.800000
217,11.200000
219,11.400000
221,12.400000
223,11.000000
225,12.600000
227,11.200000
229,11.500000
231,11.800000
233,13.600000
235,12.500000
237,12.300000
239,12.300000
241,12.900000
243,12.200000
245,13.800000
247,12.600000
249,12.900000
251,12.400000
253,12.400000
255,12.700000
257,13.600000
259,14.500000
261,13.100000
263,12.800000
265,14.400000
267,13.800000
269,13.400000
271,13.400000
273,15.000000
275,13.400000
277,14.100000
279,14.300000
281,15.000000
283,14.800000
285,14.100000
287,14.300000
289,14.100000
291,15.400000
293,15.600000
295,14.600000
297,14.500000
299,16.000000
301,15.900000
303,15.700000
305,16.400000
307,15.600000
309,17.700000
311,15.100000
313,16.800000
315,16.100000
317,18.700000
319,15.900000
321,15.300000
323,17.000000
325,16.800000
327,16.600000
329,17.700000
331,15.800000
333,16.400000
335,17.500000
337,16.800000
339,18.100000
341,17.900000
343,17.500000
345,16.900000
347,18.300000
349,18.300000
351,17.800000
353,16.500000
355,19.500000
357,18.900000
359,17.500000
361,18.800000
363,18.000000
365,17.100000
367,18.700000
369,18.900000
371,17.900000
373,18.800000
375,18.700000
377,19.000000
379,20.200000
381,18.600000
383,18.300000
385,18.100000
387,19.400000
389,19.200000
391,19.300000
393,20.000000
395,19.100000
397,20.900000
399,22.500000
401,19.300000
403,20.300000
405,20.100000
407,20.100000
409,20.300000
411,19.400000
413,20.800000
415,20.800000
417,20.900000
419,20.600000
421,21.300000
423,23.500000
425,20.800000
427,20.900000
429,21.100000
431,21.900000
433,21.800000
435,21.100000
437,21.700000
439,21.000000
441,22.600000
443,21.600000
445,21.400000
447,22.400000
449,23.400000
451,21.400000
453,22.600000
