arr_size,avg_partition_size
100,43.500000
200,86.400002
300,137.300003
400,177.699997
500,231.100006
600,272.200012
700,313.000000
800,305.799988
900,408.100006
1000,469.500000
1100,461.399994
1200,558.500000
1300,627.500000
1400,662.400024
1500,713.000000
1600,754.700012
1700,794.500000
1800,861.599976
1900,871.799988
2000,925.900024
2100,961.400024
2200,1035.000000
2300,1059.300049
2400,1133.000000
2500,1167.000000
2600,1229.099976
2700,1244.099976
2800,1323.699951
2900,1347.000000
3000,1447.099976
3100,1473.599976
3200,1382.599976
3300,1385.199951
3400,1598.099976
3500,1626.900024
3600,1664.599976
3700,1738.300049
3800,1578.000000
3900,1712.599976
4000,1679.699951
4100,1788.099976
4200,1906.300049
4300,1958.599976
4400,2018.800049
4500,2112.199951
4600,2139.100098
4700,2168.399902
4800,2195.800049
4900,2289.000000
5000,2325.800049
5100,2348.199951
5200,2368.000000
5300,2391.100098
5400,2523.800049
5500,2535.199951
5600,2679.300049
5700,2706.399902
5800,2746.399902
5900,2755.800049
6000,2816.300049
6100,2878.300049
6200,2909.800049
6300,3025.100098
6400,3044.199951
6500,3089.100098
6600,3119.600098
6700,3200.300049
6800,3215.699951
6900,3274.100098
7000,3314.600098
7100,3347.100098
7200,3390.600098
7300,3388.500000
7400,3545.899902
7500,3525.699951
7600,3644.800049
7700,3711.000000
7800,3731.100098
7900,3710.399902
8000,3826.600098
8100,3897.699951
8200,3897.300049
8300,3926.000000
8400,3982.899902
8500,4061.100098
8600,4080.600098
8700,4140.799805
8800,4204.399902
8900,4222.200195
9000,4270.100098
9100,4305.799805
9200,4450.700195
9300,4396.899902
9400,4437.000000
9500,4493.100098
9600,4484.799805
9700,4529.899902
9800,4637.299805
9900,4673.100098
10000,4653.600098
10100,4746.000000
10200,4815.500000
10300,4834.799805
10400,4884.500000
10500,4972.200195
10600,5002.000000
10700,5082.399902
10800,5076.700195
10900,5157.500000
11000,5229.200195
11100,5305.899902
11200,5334.700195
11300,5329.000000
11400,5394.399902
11500,5445.600098
11600,5510.100098
11700,5481.899902
11800,5605.899902
11900,5719.100098
12000,5718.399902
12100,5725.100098
12200,5802.399902
12300,5841.500000
12400,5794.799805
12500,5877.000000
12600,6000.600098
12700,6058.500000
12800,6029.899902
12900,6239.799805
13000,6172.200195
13100,6230.600098
13200,6288.200195
13300,6268.200195
13400,6392.399902
13500,6437.899902
13600,6491.399902
13700,6552.100098
13800,6542.500000
13900,6589.899902
14000,6660.399902
14100,6704.899902
14200,6769.899902
14300,6890.000000
14400,6981.600098
14500,6877.700195
14600,6995.100098
14700,7004.100098
14800,7052.299805
14900,7061.000000
15000,7139.600098
15100,7192.200195
15200,7214.399902
15300,7286.100098
15400,7325.500000
15500,7361.799805
15600,7372.799805
15700,6405.600098
15800,6198.100098
15900,7431.799805
16000,7287.500000
16100,7163.700195
16200,7499.200195
16300,6418.100098
16400,6707.100098
16500,7031.600098
16600,7347.899902
16700,7325.500000
16800,7426.100098
16900,7924.399902
17000,7830.299805
17100,7795.899902
17200,8046.399902
17300,7928.799805
17400,8160.100098
17500,8210.299805
17600,8098.899902
17700,8074.899902
17800,8318.200195
17900,8239.200195
18000,8278.299805
18100,8475.299805
18200,8592.900391
18300,8487.299805
18400,8687.599609
18500,8666.099609
18600,8808.700195
18700,8832.299805
18800,7608.500000
18900,8286.900391
19000,8234.500000
19100,8390.799805
19200,8639.500000
19300,9038.599609
19400,7256.100098
19500,8496.000000
19600,7845.100098
19700,8715.900391
19800,8646.400391
19900,8906.900391
20000,9112.700195
20100,9179.200195
20200,9085.900391
20300,9363.000000
20400,9547.599609
20500,9504.099609
20600,9561.700195
20700,9270.900391
20800,9490.299805
20900,9641.799805
21000,9780.799805
21100,9674.299805
21200,9924.900391
21300,9827.099609
21400,9954.900391
21500,10075.500000
21600,9948.599609
21700,10169.799805
21800,10058.599609
21900,10459.000000
22000,10412.700195
22100,10465.500000
22200,10487.500000
22300,10459.900391
22400,10499.500000
22500,10465.599609
22600,10665.799805
22700,10450.599609
22800,10837.299805
22900,10746.099609
23000,10876.500000
23100,10989.799805
23200,11001.099609
23300,10921.400391
23400,11037.500000
23500,11129.000000
23600,11078.799805
23700,11213.799805
23800,11317.200195
23900,11216.900391
24000,11491.299805
24100,11424.299805
24200,11410.299805
24300,11492.000000
24400,11511.099609
24500,11690.400391
24600,11721.400391
24700,11768.299805
24800,11843.700195
24900,11866.500000
25000,11726.799805
25100,11645.400391
25200,11972.000000
25300,11933.700195
25400,12115.000000
25500,12021.400391
25600,11956.299805
25700,12008.400391
25800,11817.500000
25900,12101.099609
26000,12389.200195
26100,12213.200195
26200,12352.799805
26300,12565.500000
26400,12586.200195
26500,12376.500000
26600,12657.900391
26700,12626.099609
26800,12776.200195
26900,12704.099609
27000,12868.700195
27100,12723.700195
27200,12973.299805
27300,12884.700195
27400,12952.500000
27500,12988.900391
27600,13135.700195
27700,13122.299805
27800,12983.900391
27900,13106.500000
28000,13238.500000
28100,13388.299805
28200,13327.900391
28300,13269.799805
28400,13507.400391
28500,13575.700195
28600,13603.599609
28700,13677.299805
28800,13736.500000
28900,13759.200195
29000,13837.900391
29100,13860.799805
29200,13925.500000
29300,13924.900391
29400,13995.500000
29500,14034.799805
29600,14001.700195
29700,14192.000000
29800,14191.299805
29900,14285.200195
30000,14171.200195
30100,14343.799805
30200,14404.900391
30300,14427.900391
30400,14469.900391
30500,14537.299805
30600,14563.400391
30700,14657.500000
30800,14649.500000
30900,14765.299805
31000,14767.099609
31100,14815.599609
31200,14838.900391
31300,14891.900391
31400,14936.400391
31500,15014.400391
31600,15053.900391
31700,15098.500000
31800,15316.200195
31900,15205.099609
32000,15282.400391
32100,15249.700195
32200,15339.700195
32300,15353.099609
32400,15423.400391
32500,15523.099609
32600,15544.599609
32700,15592.500000
32800,15637.400391
32900,15693.900391
33000,15702.099609
33100,15796.500000
33200,15826.900391
33300,15862.700195
33400,15912.299805
33500,15931.200195
33600,16012.099609
33700,16001.799805
33800,16126.500000
33900,16078.400391
34000,16205.500000
34100,16268.099609
34200,16299.000000
34300,16333.799805
34400,16407.599609
34500,16445.300781
34600,16347.799805
34700,16533.500000
34800,16604.300781
34900,16673.500000
35000,16669.500000
35100,16699.199219
35200,16767.400391
35300,16665.599609
35400,16894.599609
35500,16906.900391
35600,16798.800781
35700,16980.300781
35800,17026.300781
35900,17137.000000
36000,17207.900391
36100,17165.400391
36200,17266.599609
36300,17264.599609
36400,17383.500000
36500,17415.000000
36600,17440.699219
36700,17499.800781
36800,17583.099609
36900,17593.599609
37000,17666.099609
37100,17689.300781
37200,17808.500000
37300,17826.900391
37400,17671.099609
37500,17919.099609
37600,17920.500000
37700,17981.099609
37800,18036.099609
37900,18073.099609
38000,18128.599609
38100,18170.099609
38200,18266.300781
38300,18263.000000
38400,18320.199219
38500,18332.000000
38600,18406.300781
38700,18497.199219
38800,18534.800781
38900,18520.500000
39000,18578.699219
39100,18679.699219
39200,18681.099609
39300,18776.000000
39400,18801.300781
39500,18832.900391
39600,18925.400391
39700,18940.500000
39800,19029.900391
39900,19022.699219
40000,19071.099609
40100,19192.500000
40200,19135.900391
40300,19217.800781
40400,19315.599609
40500,19343.000000
40600,19399.099609
40700,19433.599609
40800,19490.900391
40900,19527.800781
41000,19572.300781
41100,19638.199219
41200,19659.300781
41300,19708.800781
41400,19773.400391
41500,19770.800781
41600,19855.800781
41700,19855.800781
41800,19983.199219
41900,20001.199219
42000,20015.900391
42100,20075.599609
42200,20150.400391
42300,20186.099609
42400,20190.699219
42500,20310.000000
42600,20297.199219
42700,20388.300781
42800,20378.800781
42900,20492.000000
43000,20507.699219
43100,20524.800781
43200,20591.599609
43300,20649.500000
43400,20695.099609
43500,20713.900391
43600,20804.500000
43700,20796.199219
43800,20865.400391
43900,20929.800781
44000,20987.500000
44100,21044.000000
44200,21087.500000
44300,21152.800781
44400,21187.900391
44500,21171.900391
44600,21277.000000
44700,21336.599609
44800,21376.000000
44900,21405.199219
45000,21465.199219
45100,21512.099609
45200,21527.300781
45300,21582.699219
45400,21814.500000
45500,21635.500000
45600,21735.000000
45700,21785.699219
45800,21819.900391
45900,21878.099609
46000,22002.400391
46100,22047.099609
46200,22035.000000
46300,22045.400391
46400,22127.800781
46500,22174.900391
46600,22204.300781
46700,22296.300781
46800,22355.900391
46900,22297.400391
47000,22361.199219
47100,22243.000000
47200,22487.300781
47300,22339.900391
47400,22610.900391
47500,22627.000000
47600,22647.900391
47700,22710.199219
47800,22803.500000
47900,22805.000000
48000,22855.300781
48100,22880.000000
48200,22990.900391
48300,23035.099609
48400,23031.800781
48500,23179.300781
48600,23173.199219
48700,23205.500000
48800,23247.199219
48900,23240.199219
49000,23305.000000
49100,23362.400391
49200,23501.500000
49300,23509.400391
49400,23509.500000
49500,23543.699219
49600,23654.199219
49700,23729.199219
49800,23738.599609
49900,23767.800781
50000,23944.900391
50100,23863.199219
50200,23921.099609
50300,24047.900391
50400,24039.099609
50500,24037.300781
50600,24129.300781
50700,24184.900391
50800,24239.900391
50900,24230.400391
51000,24119.599609
51100,24390.099609
51200,24403.000000
51300,24207.599609
51400,24525.400391
51500,24570.099609
51600,24595.599609
51700,24669.099609
51800,24716.500000
51900,24751.099609
52000,24754.300781
52100,24634.599609
52200,24915.300781
52300,24885.199219
52400,24964.599609
52500,25033.199219
52600,25073.000000
52700,25140.900391
52800,25105.300781
52900,25207.400391
53000,25254.400391
53100,25337.599609
53200,25362.099609
53300,25419.900391
53400,25454.599609
53500,25501.199219
53600,25507.000000
53700,25621.900391
53800,25739.699219
53900,25722.699219
54000,25522.300781
54100,25779.000000
54200,25870.500000
54300,25907.800781
54400,25982.500000
54500,25982.800781
54600,26014.300781
54700,26197.599609
54800,26122.099609
54900,26243.699219
55000,26272.300781
55100,26305.500000
55200,26300.400391
55300,26334.599609
55400,26432.099609
55500,26479.099609
55600,26493.099609
55700,26590.599609
55800,26614.599609
55900,26707.099609
56000,26679.099609
56100,26748.400391
56200,26848.699219
56300,26897.199219
56400,26898.099609
56500,27016.500000
56600,26998.800781
56700,26976.599609
56800,27088.099609
56900,27122.699219
57000,27203.599609
57100,27195.599609
57200,27312.000000
57300,27354.099609
57400,27388.800781
57500,27431.500000
57600,27504.000000
57700,27537.300781
57800,27560.300781
57900,27636.800781
58000,27680.500000
58100,27718.000000
58200,27777.300781
58300,27825.300781
58400,27825.900391
58500,27941.599609
58600,27935.400391
58700,28020.699219
58800,28067.099609
58900,28087.599609
59000,28152.199219
59100,28182.400391
59200,28233.400391
59300,28291.900391
59400,28329.900391
59500,28371.300781
59600,28405.199219
59700,28509.599609
59800,28501.400391
59900,28597.800781
60000,28585.400391
60100,28635.099609
60200,28783.699219
60300,28837.500000
60400,28790.400391
60500,28906.800781
60600,28919.800781
60700,28967.699219
60800,28968.500000
60900,29060.199219
61000,29091.599609
61100,29130.900391
61200,29201.800781
61300,29272.900391
61400,29299.300781
61500,29388.400391
61600,29354.199219
61700,29443.900391
61800,29466.199219
61900,29511.099609
62000,29614.400391
62100,29655.000000
62200,29630.800781
62300,29677.800781
62400,29725.099609
62500,29750.300781
62600,29871.900391
62700,29827.000000
62800,29934.199219
62900,30005.699219
63000,30029.099609
63100,30136.900391
63200,30176.000000
63300,30175.199219
63400,30182.500000
63500,30287.199219
63600,30323.500000
63700,30404.900391
63800,30354.099609
63900,30424.900391
64000,30556.500000
64100,30586.199219
64200,30595.800781
64300,30640.099609
64400,30719.300781
64500,30752.300781
64600,30826.199219
64700,30865.699219
64800,30899.400391
64900,30996.099609
65000,31049.199219
65100,31111.099609
65200,31059.599609
65300,31089.500000
65400,31149.699219
65500,31251.699219
65600,31493.599609
65700,31349.800781
65800,31437.699219
65900,31434.099609
66000,31508.900391
66100,31545.099609
66200,31603.500000
66300,31610.599609
66400,31709.300781
66500,31662.300781
66600,31808.800781
66700,31871.300781
66800,31845.000000
66900,31913.199219
67000,31888.300781
67100,31975.500000
67200,32025.400391
67300,32132.699219
67400,32172.400391
67500,32242.099609
67600,32268.300781
67700,32285.500000
67800,32330.199219
67900,32431.400391
68000,32442.900391
68100,32458.500000
68200,32505.699219
68300,32636.500000
68400,32669.099609
68500,32645.000000
68600,32665.400391
68700,32708.900391
68800,32845.199219
68900,32765.099609
69000,32963.601562
69100,32950.699219
69200,32991.601562
69300,33040.398438
69400,33122.898438
69500,33234.300781
69600,33247.199219
69700,33237.000000
69800,33386.601562
69900,33283.300781
70000,33414.699219
70100,33479.601562
70200,33494.601562
70300,33553.300781
70400,33615.800781
70500,33608.199219
70600,33636.300781
70700,33714.101562
70800,33809.800781
70900,33784.398438
71000,33795.199219
71100,33841.101562
71200,33906.000000
71300,34047.800781
71400,34068.699219
71500,34059.300781
71600,34079.699219
71700,34176.300781
71800,34296.601562
71900,34237.601562
72000,34316.300781
72100,34407.199219
72200,34417.898438
72300,34469.101562
72400,34631.601562
72500,34672.800781
72600,34647.699219
72700,34616.000000
72800,34699.101562
72900,34752.898438
73000,34756.398438
73100,34946.300781
73200,34872.000000
73300,34985.500000
73400,35087.500000
73500,35071.699219
73600,35081.101562
73700,35169.898438
73800,35253.898438
73900,35276.601562
74000,35308.300781
74100,35346.300781
74200,35380.500000
74300,35429.398438
74400,35447.398438
74500,35599.601562
74600,35634.800781
74700,35595.000000
74800,35632.199219
74900,35689.699219
75000,35773.101562
75100,35774.500000
75200,35896.500000
75300,35917.199219
75400,35966.000000
75500,35999.601562
75600,36016.398438
75700,36091.500000
75800,36234.398438
75900,36202.101562
76000,36215.699219
76100,36298.601562
76200,36281.000000
76300,36384.500000
76400,36424.000000
76500,36502.000000
76600,36544.398438
76700,36598.300781
76800,36675.000000
76900,36697.101562
77000,36736.300781
77100,36743.898438
77200,36820.199219
77300,36804.101562
77400,36919.199219
77500,36991.898438
77600,37019.199219
77700,37015.300781
77800,37116.300781
77900,37090.699219
78000,37147.300781
78100,37237.500000
78200,35015.101562
78300,32015.099609
78400,36386.101562
78500,36762.699219
78600,35716.300781
78700,37577.898438
78800,31597.099609
78900,33016.000000
79000,35278.699219
79100,36057.300781
79200,35051.000000
79300,35732.699219
79400,37194.601562
79500,37203.699219
79600,37627.898438
79700,37327.500000
79800,37367.601562
79900,38119.800781
80000,37528.199219
80100,36826.898438
80200,37535.601562
80300,37528.500000
80400,37302.699219
80500,36965.000000
80600,37419.800781
80700,38093.398438
80800,37844.199219
80900,38215.000000
81000,38632.898438
81100,38027.500000
81200,38711.898438
81300,32091.599609
81400,33688.500000
81500,35043.000000
81600,36094.500000
81700,35828.101562
81800,37901.699219
81900,36974.101562
82000,36322.601562
82100,33218.300781
82200,37419.300781
82300,36063.898438
82400,37250.898438
82500,38270.000000
82600,39097.699219
82700,38398.000000
82800,37658.398438
82900,38441.300781
83000,38584.699219
83100,38182.500000
83200,38621.398438
83300,38332.000000
83400,38686.699219
83500,38378.500000
83600,38062.601562
83700,39241.000000
83800,39587.000000
83900,38657.199219
84000,39718.101562
84100,38597.000000
84200,39110.500000
84300,38327.300781
84400,39914.398438
84500,39883.101562
84600,39633.800781
84700,40093.300781
84800,40138.898438
84900,40518.699219
85000,39457.601562
85100,39926.199219
85200,40284.800781
85300,40327.000000
85400,40728.699219
85500,40746.800781
85600,39687.300781
85700,40924.500000
85800,40562.300781
85900,40900.800781
86000,40998.101562
86100,40712.398438
86200,41139.199219
86300,40484.101562
86400,40862.800781
86500,41257.300781
86600,40854.398438
86700,40588.000000
86800,41010.898438
86900,41519.898438
87000,41487.101562
87100,41570.800781
87200,41561.101562
87300,41594.601562
87400,41371.398438
87500,41707.699219
87600,41848.199219
