arr_size,avg_partition_size
100,40.299999
200,95.300003
300,141.899994
400,165.199997
500,226.699997
600,282.100006
700,345.899994
800,361.299988
900,427.200012
1000,354.799988
1100,416.100006
1200,547.299988
1300,609.700012
1400,665.500000
1500,713.200012
1600,771.000000
1700,815.000000
1800,853.700012
1900,910.299988
2000,998.500000
2100,1054.699951
2200,665.700012
2300,471.000000
2400,1123.800049
2500,1066.800049
2600,1186.099976
2700,1277.000000
2800,1302.599976
2900,1371.500000
3000,1103.699951
3100,1380.599976
3200,638.700012
3300,1409.800049
3400,1487.099976
3500,1536.500000
3600,1658.199951
3700,1763.699951
3800,1787.000000
3900,1824.699951
4000,1872.699951
4100,1972.099976
4200,2038.099976
4300,2067.399902
4400,2187.899902
4500,2195.899902
4600,2233.199951
4700,2282.800049
4800,2353.300049
4900,2398.000000
5000,2478.800049
5100,2470.300049
5200,2477.199951
5300,2589.800049
5400,2607.199951
5500,2653.399902
5600,2749.300049
5700,2752.399902
5800,2790.800049
5900,2920.399902
6000,2927.300049
6100,2993.300049
6200,3049.399902
6300,3065.300049
6400,3142.399902
6500,3212.899902
6600,2664.500000
6700,2799.300049
6800,3293.000000
6900,2121.600098
7000,3186.600098
7100,3370.399902
7200,3489.100098
7300,2388.500000
7400,1805.800049
7500,3462.500000
7600,3278.300049
7700,3305.199951
7800,3489.300049
7900,3463.399902
8000,3795.600098
8100,3895.699951
8200,3904.899902
8300,3862.899902
8400,3910.100098
8500,4085.600098
8600,4165.700195
8700,4295.000000
8800,3538.600098
8900,3695.800049
9000,3696.000000
9100,3158.899902
9200,4241.200195
9300,4409.000000
9400,4468.100098
9500,4119.000000
9600,2700.199951
9700,4557.399902
9800,4349.899902
9900,4233.200195
10000,4441.899902
10100,4757.399902
10200,4754.899902
10300,4915.200195
10400,4899.200195
10500,4942.600098
10600,4977.000000
10700,5065.700195
10800,5177.500000
10900,5268.100098
11000,5292.000000
11100,5379.700195
11200,5396.500000
11300,5437.299805
11400,5460.299805
11500,5593.200195
11600,5585.299805
11700,5567.600098
11800,5601.500000
11900,5781.899902
12000,5701.399902
12100,5786.000000
12200,5945.399902
12300,5880.799805
12400,6117.799805
12500,6051.500000
12600,6149.399902
12700,6148.500000
12800,6208.700195
12900,6274.600098
13000,6372.899902
13100,6329.100098
13200,6580.700195
13300,6529.200195
13400,6504.700195
13500,6494.299805
13600,6747.399902
13700,6718.899902
13800,6742.799805
13900,6838.700195
14000,6851.600098
